Fecha:,12/11/2023 12:00,,,,,,,,,,,,
Provincia,Municipio,Localidad,Código postal,Dirección,Longitud,Latitud,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasóleo A,Precio gasóleo B,Precio gasóleo de uso marítimo,Rótulo,Horario
SANTA CRUZ DE TENERIFE,ADEJE,ADEJE,38670,PUERTO DEPORTIVO PUERTO COLON EDF.CAPITANIA 1ª PLANTA,-16.737889,28.079333,1.373,,1.357,,,DISA,L-D: 08:00-17:45
SANTA CRUZ DE TENERIFE,ARONA,ARONA,38649,MUELLE TRANSVERSAL DEL PUERTO DE LOS CRISTIANOS,-16.718694,28.047917,1.361,,1.281,,,NAC MARINE FUEL ,L-S: 08:00-14:30
SANTA CRUZ DE TENERIFE,SAN SEBASTIÁN DE LA GOMERA,SAN SEBASTIAN DE LA GOMERA,38800,PUERTO DEPORTIVO S/N,-17.107028,28.089583,1.645,,1.525,,,DISA,L-D: 08:00-18:00
SANTA CRUZ DE TENERIFE,SANTA CRUZ DE LA PALMA,SANTA CRUZ DE LA PALMA,38700,DARSENA DE EMBARCACIONES MENORES PUERTO SANTA CRUZ DE LA PALMA,-17.767333,28.679083,1.555,,1.549,,,SIN ROTULO,L-S: 08:00-20:00; D: 08:00-15:30
SANTA CRUZ DE TENERIFE,TAZACORTE,TAZACORTE,38770,PUERTO DE TAZACORTE S/N,-17.933194,28.642722,1.530,,1.530,,,PUERTO TAZACORTE,L-D: 08:30-19:30
TARRAGONA,AMETLLA DE MAR (L'),AMETLLA DE MAR (L'),43860,MOLL DE PONENT S/N APTDO CORREOS 104,0.802111,40.879389,,1.963,1.801,,,NO FIGURA,L-D: 09:00-13:00 y 15:00-19:00
TARRAGONA,AMETLLA DE MAR (L'),AMETLLA DE MAR (L'),43860,PORT CALAFAT,0.850278,40.927333,1.590,,1.519,,,ALAS - PORT CALAFAT,L-D: 24H
TARRAGONA,AMPOLLA (L'),AMPOLLA (L'),43895,PORT ESPORTIU,0.710667,40.809472,1.753,,1.718,,,PETROCAT,L-D: 08:00-13:00 y 15:00-18:00
TARRAGONA,CALAFELL,SEGUR DE CALAFELL,43882,Pº MARITIMO S/N,1.607556,41.186083,1.907,,1.807,,,PORT SEGUR CALAFELL S.A.,L-D: 08:00-20:00
TARRAGONA,CAMBRILS,CAMBRILS,43850,PUERTO PESQUERO S/Nº,1.061881,41.062750,,,,779.000,,REPSOL,L-D: 24H
TARRAGONA,DELTEBRE,DELTEBRE,43580,ML PUERTO DELTEBRE,0.843167,40.717361,1.549,,1.507,,880.000,CARBURANTS DEL MONTSIÀ,L-D: 24H
TARRAGONA,RODA DE BARÀ,RODA DE BARA,43883,EDIFICIO CAPITANIAS/N,1.485500,41.167556,1.753,,1.718,,,PETROCAT,L-D: 24H
TARRAGONA,SANT CARLES DE LA RÀPITA,LA RÁPITA,43540,PUERTO S/Nº,0.596881,40.613861,,,,779.000,,REPSOL,L-D: 24H
TARRAGONA,TARRAGONA,TARRAGONA,43005,MUELLE DE REUS S/N,1.242194,41.106917,,,,,819.000,VILALTA CORPORACION S.A.,L-D: 24H
TARRAGONA,VANDELLÒS I L'HOSPITALET DE L'INFANT,HOSPITALET DE L'INFANT,43890,MUELLE DR. CAPELLA S/N PUERTO DEPORTIVO,0.927694,40.988639,,1.735,1.682,,,REPSOL,L-D: 08:00-20:00
TARRAGONA,VENDRELL (EL),MASOS DE COMA-RUGA (ELS),43880,PASSEIG MARÍTIM S/N,1.525444,41.177333,1.753,,1.718,,,LIBRE,L-D: 07:00-20:30
VALENCIA / VALÈNCIA,OLIVA,OLIVA,46780,ALFONSO EL MAGNANIMO 41,-0.094694,38.931639,1.615,,1.615,,,BP OIL,L: 08:00-19:00
VALENCIA / VALÈNCIA,POBLA DE FARNALS (LA),POBLA DE FARNALS (LA),46137,PLAZA CORTES VALENCIANAS S/N,-0.284167,39.560333,1.835,,1.810,,,POBLA MARINA,L-D: 07:00-21:00
VALENCIA / VALÈNCIA,VALENCIA,VALENCIA,46024,DIQUE NORTE BOCANA DARSENA INTERIOR ,-0.312278,39.461306,1.779,,1.779,1259.000,,REPSOL ,L-D: 08:00-18:00
VALENCIA / VALÈNCIA,VALENCIA,VALENCIA,46024,CAMINO DE CANAL 91 - CLUB NAUTICO DE VALENCIA,-0.330722,39.429917,1.789,,1.789,,1279.000,EXCLUSIVAS BAYMAR S.A.,L-D: 24H
