Fecha:,12/11/2023 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Provincia,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Toma de datos,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasolina 95 E5 Premium,Precio gasolina 98 E5,Precio gasolina 98 E10,Precio gasóleo A,Precio gasóleo Premium,Precio gasóleo B,Precio gasóleo C,Precio bioetanol,% bioalcohol,Precio biodiésel,% éster metílico,Precio gases licuados del petróleo,Precio gas natural comprimido,Precio gas natural licuado,Precio hidrógeno,Rótulo,Horario
ALBACETE,ELCHE DE LA SIERRA,ELCHE DE LA SIERRA,02430,POLIGONO EL CAMPILLO A 2,D,-2.017917,38.460694,11/11/2023 09:17,1.570,,,,,1.609,,,,,,,,,,,,DLP,L-V: 08:00-21:00; S: 08:00-14:00
ALBACETE,FUENTE-ÁLAMO,FUENTE-ALAMO,02651,LA HIGUERA 000,D,-1.431579,38.695348,10/11/2023 10:16,,,,,,1.520,,1.140,,,,,,,,,,SAN DIONISIO,L-D: 24H
ALBACETE,FUENTE-ÁLAMO,FUENTE-ALAMO,02651,AVDA. DOCTOR PEREZ GIL 25,N,-1.433306,38.689833,08/11/2023 18:11,1.619,,,1.799,,1.629,,1.239,,,,,,,,,,Nº 7374,L: 07:00-20:30
ALBACETE,FUENTEALBILLA,FUENTEALBILLA,02260,N-322 (CORDOBA-VALENCIA) km 399,I,-1.548639,39.269972,31/10/2023 10:35,1.629,,,,,1.619,,1.239,,,,,,,,,,ES SAN ANTONIOABAD. FUENTEALBILLA,L-D: 07:00-20:00
ALBACETE,GINETA (LA),GINETA (LA),02110,CR A-31 235,I,-1.963944,39.086278,12/11/2023 00:00,1.629,,1.669,1.779,,1.659,1.709,,,,,,,,,,,REPSOL,L-D: 06:00-22:00
ALBACETE,GOLOSALVO,GOLOSALVO,02253,CARRETERA NACIONAL 322 KM. 390,D,-1.635111,39.238111,10/11/2023 10:04,1.649,,,1.789,,1.669,1.759,,,,,,,,,,,CEPSA,L: 06:00-22:00
ALBACETE,HELLÍN,HELLIN,02400,MELCHOR  DE MACANAZ 66,N,-1.696972,38.511222,08/11/2023 10:33,1.619,,,1.749,,1.679,1.729,,,,,,,,,,,BP,L: 06:00-23:00
ALBACETE,HELLÍN,HELLIN,02400,AUTOVIA A-30 KM. 3225,D,-1.596722,38.464250,07/11/2023 06:00,1.669,,,1.799,,1.679,1.749,,,,,,,,,,,GALP,L-D: 06:00-22:00
ALBACETE,HELLÍN,HELLIN,02400,CARRETERA TORREUCHEA KM. 1,D,-1.636389,38.495972,06/11/2023 10:56,1.679,,,1.799,,1.699,1.779,,,,,,,0.989,,,,HELLIN GAS S.L.,L-D: 24H
ALBACETE,HELLÍN,HELLIN,02400,CARRETERA N-301 KM. 316,I,-1.703056,38.524444,12/11/2023 00:00,1.619,,,1.729,,1.659,1.709,,,,,,,,,,,REPSOL,L-D: 06:00-23:00
ALBACETE,HELLÍN,HELLIN,02400,CARRETERA JAEN KM. 47,D,-1.714556,38.502889,12/11/2023 00:00,1.609,,,1.739,,1.649,1.699,,,,,,,,,,,REPSOL,L-D: 08:00-21:00
ALBACETE,HELLÍN,HELLIN,02400,CARRETERA MURCIA KM. 33,I,-1.687833,38.506806,12/11/2023 00:00,1.609,,,1.739,,1.659,1.709,,,,,,,,,,,PETRONOR,L-D: 06:00-23:00
ALBACETE,HELLÍN,HELLIN,02400,CARRETERA A-30 KM. 3282,I,-1.571667,38.417306,12/11/2023 00:00,1.639,,1.699,,,1.655,1.725,,,,,,,,,,,CEPSA,L-D: 06:00-22:00
ALBACETE,HELLÍN,HELLIN,02400,POLIGONO SAN RAFAEL 3ª FASE SN,N,-1.705389,38.545111,11/11/2023 00:00,,,,,,1.719,,,,,,,,,,,,IDS,L-D: 24H
ALBACETE,HELLÍN,HELLIN,02400,CARRETERA CM 412 KM. 273,D,-1.694889,38.532389,08/11/2023 09:49,1.529,,,,,1.535,,,,,,,,,,,,PETROGAS,L-D: 06:30-22:00
ALBACETE,HELLÍN,HELLIN,02400,AVENIDA LIBERTAD 111,D,-1.700417,38.517306,11/11/2023 01:50,1.499,,,,,1.535,,,,,,,,,,,,PLENOIL,L-D: 24H
ALBACETE,HELLÍN,HELLIN,02400,CARRETERA N 301-A KM. S/N,D,-1.677694,38.502528,10/11/2023 09:38,1.579,,,,,1.539,,,,,,,,,,,,MULTSER-OIL,L-D: 24H
ALBACETE,HELLÍN,ISSO,02420,CARRETERA DE HELLIN KM. 104,D,-1.741111,38.491861,12/11/2023 00:00,1.599,,,1.729,,1.649,1.699,1.352,,,,,,,,,,REPSOL,L-D: 06:00-23:00
